Ranking,Car_ID,Year,Make,Model,Total,Racer,Engine,Body_Frame,Mods,Mods_Overall,Car_Overall
1,100,2006,Volvo,S60r,22,6,8,8,0,0,0
1,66,2010,Volkswagen,Gti,4,0,2,2,0,0,0
2,86,1996,Volkswagen,Jetta,8,0,4,4,0,0,0
3,185,2013,Volkswagen,Jett,8,0,0,8,0,0,0
4,184,2010,Volkswagen,Cc,8,0,4,4,0,0,0
5,96,2017,Volkswagen,Gti,10,2,2,4,0,2,0
1,243,2008,Toyota,Matrix,10,0,0,10,0,0,0
2,241,2007,Toyota,Camry,24,0,4,18,0,2,0
3,189,2012,Toyota,Fj cruiser,50,2,10,34,0,2,2
4,43,2011,Toyota,4 Runner,54,2,12,32,0,4,4
5,142,1993,Toyota,Supra,58,4,8,36,0,6,4
1,75,2012,Subaru,WRX,6,0,2,4,0,0,0
2,64,2004,Subaru,Forester,6,0,0,6,0,0,0
3,40,2007,Subaru,Legacy,6,0,0,6,0,0,0
4,1,2012,Subaru,WRX,6,2,0,2,0,0,2
5,69,2018,Subaru,WRX,8,0,0,8,0,0,0
1,235,2013,Scion,Frs,20,2,2,14,0,2,0
2,57,2015,Scion,Frs,80,16,20,36,0,4,4
1,68,2013,Nissan,Altima,10,0,0,8,0,2,0
2,16,2008,Nissan,350z,10,2,2,6,0,0,0
3,193,2014,Nissan,Ssntra,14,0,4,8,0,2,0
4,150,2006,Nissan,350z,22,0,4,16,0,2,0
5,242,2014,Nissan,Maxima,26,0,6,18,0,2,0
1,163,2013,Mitsu,Ralliart,22,4,4,12,0,2,0
2,19,2001,Mitsu,Evo7,40,6,2,28,0,2,2
3,176,2014,Mitsu,Lancer,40,0,2,34,0,4,0
4,140,1995,Mitsu,Evo8,44,8,10,24,0,0,2
5,91,2010,Mitsu,Lancer,102,8,24,62,0,6,2
1,98,2012,Mercedes,C63,26,4,6,14,0,2,0
2,17,2016,Mercedes,C43,34,6,8,18,0,2,0
3,84,2012,Mercedes,Cl63amg,70,12,16,36,0,2,4
4,25,2012,Mercedes,C250,78,6,16,48,0,4,4
1,138,1990,Mazda,Miata,10,0,4,6,0,0,0
2,79,1993,Mazda,Miata,18,0,0,16,0,2,0
3,141,1993,Mazda,Miata,26,0,0,24,0,2,0
4,78,2015,Mazda,6,36,2,6,26,0,0,2
5,52,2007,Mazda,Speed 3,48,6,10,28,0,2,2
1,212,2001,Lexus,Is300,6,0,0,6,0,0,0
2,190,1995,Lexus,Sc300,10,0,0,10,0,0,0
3,222,2015,Lexus,Is250,40,0,12,24,0,4,0
4,123,2006,Lexus,Sc430,66,8,18,36,0,4,0
1,124,2015,Jeep,Wrangler,124,12,24,78,0,6,4
1,95,2004,Infiniti,G35,12,0,0,12,0,0,0
2,20,2009,Infiniti,G37,38,6,4,26,0,2,0
3,122,2011,Infiniti,M37s,44,2,8,30,0,4,0
4,128,2010,Infiniti,G37,128,18,26,74,0,6,4
1,159,2013,Hyundai,Gen coupe,14,2,2,10,0,0,0
2,92,2017,Hyundai,Elantra sport,30,2,6,22,0,0,0
3,38,2017,Hyundai,Elantra sport,62,6,16,36,0,0,4
4,30,2012,Hyundai,Celoster,66,4,20,36,0,4,2
1,70,2014,Honda,Civic,0,0,0,0,0,0,0
2,101,2014,Honda,Civic,0,0,0,0,0,0,0
3,72,2016,Honda,Civic si,4,0,0,4,0,0,0
4,74,2015,Honda,Accord,8,0,0,6,0,2,0
5,102,2015,Honda,Accord,10,0,0,8,0,2,0
1,167,2016,Ford,Mystang,20,4,4,10,0,2,0
2,219,2016,Ford,Focus rs,26,6,6,12,0,0,2
3,120,2014,Ford,Focus st,30,6,4,16,0,2,2
4,137,2017,Ford,Focus rs,54,10,14,28,0,0,2
1,42,2001,Dodge,Viper,8,0,2,4,0,0,2
1,216,2007,Chrystler,300,96,16,20,52,0,4,4
1,0,2015,Chevy,Camaro,0,0,0,0,0,0,0
2,170,2014,Chevy,Cruze,50,0,0,46,0,4,0
3,218,2010,Chevy,Camaro,64,12,16,28,0,4,4
1,28,1995,Bmw,318xi,8,0,0,8,0,0,0
2,111,2007,Bmw,328i,10,4,0,2,0,4,0
3,172,2014,Bmw,4,22,4,6,6,0,0,6
4,2,2016,Bmw,M2,24,2,2,18,0,2,0
1,197,2010,Audi,A4,2,0,0,2,0,0,0
2,220,2004,Audi,A4,14,0,2,10,0,2,0
3,108,2013,Audi,S4,14,4,0,6,0,2,2
4,116,2008,Audi,A4,28,0,10,12,0,4,2
5,18,2015,Audi,S3,38,4,2,28,0,2,2
1,174,2006,Acura,Rsx,4,0,2,2,0,0,0
2,71,2008,Acura,TL,6,0,0,6,0,0,0
3,230,2004,Acura,Tsx,20,0,4,14,0,2,0
4,93,2005,Acura,TL,22,2,2,16,0,0,2
5,49,1997,Acura,Integra,42,4,12,18,0,4,4
